country	0	corruption	democracy_2008	democracy_2011	gdp	gini	life_expectancy
New Zealand	0	90	82.6	82.7	28000	36.2	80.71
Nicaragua	0	29	53.1	53.6	3200	40.5	72.18
Niger	0	33			800	34	53.8
Nigeria	0	27	36.3	37.4	2600	43.7	52.05
Niue					5800		
Northern Mariana Islands	0				12500		77.27
Norway	0	85	87.3	88.5	53400	25	80.32
Oman	0	47			27600		74.47
Pakistan	0	27	33.5	37.1	2800	30.6	66.35
Palau					8100		72.06
Palestine	0						
Panama	0	38	63.7	65.1	14100	51.9	77.96
Papua New Guinea	0	25			2500	50.9	66.46
Paraguay	0	25	52.4	53.7	6200	53.2	76.4
Peru	0	38	61.1	61	10100	46	72.73
Philippines	0	34	53.9	55.8	4100	45.8	71.94
Poland	0	58	69.2	70.5	20200	34.2	76.25
Portugal	0	63	75.4	75.6	23400	38.5	78.7
Puerto Rico	0	63			16300		79.07
Qatar	0	68			98900		78.09
Republic of Moldova	0	36	53.4	56.7	3400	38	69.51
Reunion	0						
Romania	0	44	62.4	63.4	12500	33.3	74.22
Russia	0	28	44.5	44.5	16700	42	66.46
Rwanda	0	53			1300	46.8	58.44
Saint Helena, Ascension, and Tristan da Cunha					2500		78.91
Saint Kitts and Nevis					15600		74.84
Saint Lucia	0	71			13100		77.04
Saint Pierre and Miquelon					7000		80
Saint Vincent and the Grenadines	0	62			11500		74.39
Samoa	0				6000		72.66
San Marino	0				36200		83.07
Sao Tome and Principe	0	42			2300		63.49
Saudi Arabia	0	44			24400		74.35
Senegal	0	36	48.6	49.2	2000	41.3	60.18
Serbia	0	39	59.6	60.8	10400	28.2	74.56
Seychelles	0	52			25400		73.77
Sierra Leone	0	31			1100	62.9	56.55
Singapore	0	87	62.8	64.9	59700	47.3	83.75
Sint Maarten					15400		
Slovakia	0	46	68.7	68	23300	26	76.03
Slovenia	0	61	74.8	75	28800	28.4	77.48
Solomon Islands	0				3200		74.42
Somalia	0	8			600		50.8
South Africa	0	43	53.8	53.3	11000	65	49.41
South Sudan					2100		
Spain	0	65	77.6	77.1	30500	32	81.27
Sri Lanka	0	40	51.5	49.8	5700	49	75.94
Sudan	0	13			2700		62.57
Suriname	0	37			11800		71.12
Svalbard	0						
Swaziland	0	37			5300	50.4	49.42
Sweden	0	88	87.3	86.9	40700	23	81.18
Switzerland	0	86	84.5	85.4	44500	33.7	81.17
Syrian Arab Republic	0	26	30.1	29.5	5100		74.92
Taiwan	0	61			37700	32.6	78.48
Tajikistan	0	22			2100	32.6	66.38
Thailand	0	37	49.7	51.6	9400	53.6	73.83
The former Yugoslav Republic of Macedonia	0	43	52.6	54.6	10500	44.2	75.36
Timor-Leste	0	33	46.2	47.3	8700	31.9	68.27
Togo	0	30	31.9	34.6	1000		63.17
Tokelau					1000		
Tonga	0				7300		75.38
Trinidad and Tobago	0	39	59.6	60.1	20000		71.67
Tunisia	0	41	37.8	45.8	9400	40	75.24
Turkey	0	49	53.4	53.4	14400	40.2	72.77
Turkmenistan	0	17			7800	40.8	68.84
Turks and Caicos Islands	0				11500		79.26
Tuvalu					3300		65.11
Uganda	0	29			1400	44.3	53.45
Ukraine	0	26	56	54.3	7200	27.5	68.74
United Arab Emirates	0	68			47700		76.71
United Kingdom	0	74	80.1	79.7	36500	34	80.17
United Republic of Tanzania	0	35	45.6	48.7	1600	37.6	53.14
United States	0	73	78.3	78.5	48300	45	78.49
Uruguay	0	72	71.5	72.3	15100	45.3	76.41
Uzbekistan	0	17			3300	36.8	72.77
Vanuatu	0				4800		65.06
Venezuela	0	19	48.9	48.2	12600	39	74.08
Viet Nam	0	31			3400	37.6	72.41
Western Sahara	0				2500		61.52
Yemen	0	23	25.7	25.9	2300	37.7	64.11
Zambia	0	37	37.4	41	1600	50.8	52.57
Zimbabwe	0	20			500	50.1	51.82
